player,Total_Balls,Risk_Score,Risk_Level
Mohammad Asif,199,1.99,Low
MJ Lumb,198,1.98,Low
MJ Guptill,197,1.97,Low
J Syed Mohammad,196,1.96,Low
A Ashish Reddy,196,1.96,Low
SMSM Senanayake,195,1.95,Low
Simarjeet Singh,193,1.93,Low
B Akhil,193,1.93,Low
SE Bond,191,1.91,Low
SM Katich,191,1.91,Low
R Sai Kishore,191,1.91,Low
R Dhawan,188,1.88,Low
AB McDonald,188,1.88,Low
MS Wade,185,1.85,Low
KL Nagarkoti,185,1.85,Low
Shahid Afridi,185,1.85,Low
N Rana,185,1.85,Low
YV Takawale,183,1.83,Low
CA Ingram,183,1.83,Low
IS Sodhi,182,1.82,Low
I Udana,182,1.82,Low
R Parag,181,1.81,Low
A Manohar,181,1.81,Low
KP Pietersen,180,1.8,Low
KMA Paul,180,1.8,Low
OC McCoy,180,1.8,Low
S Randiv,180,1.8,Low
FY Fazal,179,1.79,Low
KA Jamieson,179,1.79,Low
B Laughlin,179,1.79,Low
R McLaren,178,1.78,Low
Kamran Khan,177,1.77,Low
Atharva Taide,177,1.77,Low
D Brevis,176,1.76,Low
S Sandeep Warrier,176,1.76,Low
Akash Deep,175,1.75,Low
MN Samuels,174,1.74,Low
S Gopal,173,1.73,Low
Salman Butt,172,1.72,Low
N Thushara,172,1.72,Low
AS Raut,172,1.72,Low
SP Fleming,171,1.71,Low
JD Unadkat,170,1.7,Low
HF Gurney,169,1.69,Low
MG Johnson,168,1.68,Low
KS Bharat,168,1.68,Low
PA Reddy,167,1.67,Low
D Pretorius,166,1.66,Low
CK Langeveldt,165,1.65,Low
Swapnil Singh,165,1.65,Low
DW Steyn,163,1.63,Low
Fazalhaq Farooqi,162,1.62,Low
Anand Rajan,162,1.62,Low
AB Agarkar,160,1.6,Low
P Parameswaran,159,1.59,Low
HC Brook,159,1.59,Low
K Gowtham,159,1.59,Low
PD Collingwood,159,1.59,Low
DP Vijaykumar,159,1.59,Low
CM Gautam,158,1.58,Low
BE Hendricks,157,1.57,Low
Mohammad Nabi,157,1.57,Low
AM Salvi,156,1.56,Low
JEC Franklin,155,1.55,Low
N Jagadeesan,155,1.55,Low
LE Plunkett,154,1.54,Low
SB Bangar,153,1.53,Low
Umar Gul,153,1.53,Low
PC Valthaty,153,1.53,Low
Arshad Khan,153,1.53,Low
TL Suman,152,1.52,Low
J Fraser-McGurk,150,1.5,Low
B Stanlake,150,1.5,Low
FH Edwards,150,1.5,Low
GC Viljoen,146,1.46,Low
BJ Rohrer,146,1.46,Low
R Ravindra,146,1.46,Low
BCJ Cutting,146,1.46,Low
R Sathish,144,1.44,Low
RR Raje,144,1.44,Low
RE van der Merwe,144,1.44,Low
T Thushara,144,1.44,Low
C Munro,144,1.44,Low
AC Voges,143,1.43,Low
N Saini,143,1.43,Low
KM Asif,143,1.43,Low
Sikandar Raza,143,1.43,Low
DH Yagnik,142,1.42,Low
AS Roy,142,1.42,Low
Z Khan,141,1.41,Low
