player,Total_Balls
SJ Srivastava,5
SK Raina,4177
SK Trivedi,61
SK Warne,219
SL Malinga,103
SM Curran,673
SM Harwood,14
SM Katich,191
SM Pollock,116
SMSM Senanayake,17
SN Khan,456
SN Thakur,228
SO Hetmyer,854
SP Fleming,171
SP Goswami,307
SP Jackson,57
SP Narine,984
SPD Smith,1999
SR Tendulkar,2044
SR Watson,2892
SS Cottrell,2
SS Iyer,2545
SS Prabhudessai,113
SS Shaikh,7
SS Tiwary,1291
ST Jayasuriya,573
STR Binny,700
SV Samson,3270
SW Billings,399
SW Tait,26
SZ Mulani,1
Sachin Baby,123
Salman Butt,172
Sameer Rizvi,43
Sandeep Sharma,73
Sanvir Singh,22
Saurav Chauhan,16
Shahbaz Ahmed,467
Shahid Afridi,46
Shakib Al Hasan,665
Shashank Singh,272
Shivam Mavi,58
Shivam Sharma,3
Shivam Singh,3
Shoaib Ahmed,6
Shoaib Akhtar,8
Shoaib Malik,49
Shubman Gill,2432
Sikandar Raza,143
Simarjeet Singh,8
Sohail Tanvir,31
Sumit Kumar,26
Sunny Gupta,1
Sunny Singh,31
Swapnil Singh,46
T Banton,22
T Henderson,16
T Kohler-Cadmore,54
T Kohli,20
T Natarajan,5
T Shamsi,4
T Stubbs,239
T Taibu,26
T Thushara,19
TA Boult,82
TD Paine,29
TG Southee,108
TH David,417
TK Curran,108
TL Seifert,26
TL Suman,587
TM Dilshan,1047
TM Head,458
TM Srivastava,11
TR Birt,59
TS Mills,14
TU Deshpande,15
Tanush Kotian,32
Tilak Varma,830
U Kaul,1
UA Birla,15
UBT Chand,314
UT Khawaja,105
UT Yadav,211
Umar Gul,19
Umran Malik,16
V Kohli,6236
V Pratap Singh,1
V Sehwag,1833
V Shankar,890
V Viyaskanth,5
VG Arora,17
VH Zol,26
VR Aaron,73
VR Iyer,1000
VRV Singh,3
VS Malik,7
VS Yeligati,2
VVS Laxman,271
VY Mahesh,28
Vijaykumar Vyshak,13
Virat Singh,26
Vishnu Vinod,58
Vivrant Sharma,49
W Jaffer,129
WA Mota,76
WD Parnell,86
WG Jacks,133
WP Saha,2368
WPUJC Vaas,73
Washington Sundar,341
X Thalaivan Sargunam,17
Y Gnaneswara Rao,18
Y Nagar,271
Y Prithvi Raj,1
Y Venugopal Rao,865
YA Abdulla,1
YBK Jaiswal,1095
YK Pathan,2334
YS Chahal,89
YV Dhull,23
YV Takawale,183
Yash Dayal,1
Yashpal Singh,67
Younis Khan,7
Yudhvir Singh,16
Yuvraj Singh,2207
Z Khan,141
